cod;nome;período;valor
15;PA;2000;1.27
23;CE;2000;2.24
24;RN;2000;2.23
22;PI;2000;0.937
29;BA;2000;0.935
25;PB;2000;0.888
21;MA;2000;0.547
16;AP;2000;0
35;SP;2000;5.1
31;MG;2000;2.04
32;ES;2000;2.98
51;MT;2000;6.69
11;RO;2000;7.65
12;AC;2000;11.1
14;RR;2000;43.2
27;AL;2000;2.16
28;SE;2000;2.1
13;AM;2000;2.02
42;SC;2000;1.58
53;DF;2000;1.29
50;MS;2000;6.35
33;RJ;2000;5.33
26;PE;2000;4.65
52;GO;2000;4.49
41;PR;2000;3.49
17;TO;2000;3.18
43;RS;2000;3.05
52;GO;2001;3.68
26;PE;2001;3.5
43;RS;2001;3.19
13;AM;2001;2.72
27;AL;2001;2.65
28;SE;2001;2.25
21;MA;2001;2.08
22;PI;2001;2.01
11;RO;2001;12.6
42;SC;2001;1.57
24;RN;2001;0.944
29;BA;2001;0.799
17;TO;2001;5.68
51;MT;2001;6.76
12;AC;2001;8.32
15;PA;2001;3.11
31;MG;2001;1.84
23;CE;2001;1.52
53;DF;2001;1.41
25;PB;2001;1.3
50;MS;2001;4.8
35;SP;2001;4.71
33;RJ;2001;4.37
14;RR;2001;4.33
41;PR;2001;4.27
32;ES;2001;4.26
16;AP;2001;4.02
33;RJ;2002;4.87
26;PE;2002;4.58
35;SP;2002;4.54
41;PR;2002;4.16
52;GO;2002;4.15
32;ES;2002;3.38
43;RS;2002;3.35
17;TO;2002;2.7
28;SE;2002;2.41
29;BA;2002;0.863
21;MA;2002;0.875
25;PB;2002;0.998
23;CE;2002;1.18
15;PA;2002;1.48
24;RN;2002;1.49
27;AL;2002;1.64
22;PI;2002;1.81
14;RR;2002;13
50;MS;2002;6.95
11;RO;2002;6.99
31;MG;2002;2.34
13;AM;2002;2.18
53;DF;2002;2.35
42;SC;2002;2.36
51;MT;2002;6.89
16;AP;2002;6.34
12;AC;2002;5.51
35;SP;2003;4.21
25;PB;2003;0.56
23;CE;2003;0.79
27;AL;2003;1.13
21;MA;2003;1.45
42;SC;2003;1.96
12;AC;2003;11.1
11;RO;2003;11.8
22;PI;2003;2.04
53;DF;2003;2.39
15;PA;2003;2.53
28;SE;2003;2.58
24;RN;2003;2.83
43;RS;2003;3.09
17;TO;2003;3.15
14;RR;2003;3.28
26;PE;2003;3.36
52;GO;2003;3.72
16;AP;2003;4.03
41;PR;2003;4.72
33;RJ;2003;4.89
51;MT;2003;6.99
50;MS;2003;6.46
29;BA;2003;1.09
13;AM;2003;1.5
31;MG;2003;3.1
32;ES;2003;5.4
26;PE;2004;3.4
35;SP;2004;3.75
32;ES;2004;4.06
12;AC;2004;4.81
41;PR;2004;5.03
33;RJ;2004;5.03
52;GO;2004;5.37
11;RO;2004;6.33
51;MT;2004;7.02
13;AM;2004;3.47
24;RN;2004;0.76
53;DF;2004;1.36
29;BA;2004;1.18
21;MA;2004;1.18
23;CE;2004;1.1
43;RS;2004;3.34
22;PI;2004;2.88
17;TO;2004;2.43
31;MG;2004;2.34
42;SC;2004;2.34
15;PA;2004;1.81
27;AL;2004;1.76
28;SE;2004;1.72
16;AP;2004;1.49
25;PB;2004;0.68
14;RR;2004;6.4
50;MS;2004;4.2
42;SC;2005;1.98
22;PI;2005;2.2
13;AM;2005;2.26
26;PE;2005;2.27
53;DF;2005;2.4
15;PA;2005;2.95
31;MG;2005;3.03
16;AP;2005;3.15
35;SP;2005;3.47
17;TO;2005;3.55
52;GO;2005;3.6
43;RS;2005;3.82
32;ES;2005;3.99
14;RR;2005;4.48
41;PR;2005;4.6
33;RJ;2005;4.67
11;RO;2005;5
50;MS;2005;6.2
12;AC;2005;6.4
51;MT;2005;7.29
25;PB;2005;1
21;MA;2005;1.01
23;CE;2005;1.12
28;SE;2005;1.18
29;BA;2005;1.32
27;AL;2005;1.67
24;RN;2005;1.68
14;RR;2006;23.4
13;AM;2006;5.29
32;ES;2006;5.41
51;MT;2006;5.54
11;RO;2006;6.57
12;AC;2006;7.17
43;RS;2006;2.66
31;MG;2006;2.86
17;TO;2006;2.48
35;SP;2006;3.53
52;GO;2006;3.75
16;AP;2006;4.26
50;MS;2006;4.75
41;PR;2006;4.78
33;RJ;2006;4.88
21;MA;2006;1.01
22;PI;2006;1.07
27;AL;2006;1.21
23;CE;2006;1.21
25;PB;2006;1.22
29;BA;2006;1.3
53;DF;2006;1.56
24;RN;2006;1.86
26;PE;2006;2.26
28;SE;2006;2.49
42;SC;2006;2.55
15;PA;2006;2.44
12;AC;2007;8.82
50;MS;2007;6.31
41;PR;2007;4.88
16;AP;2007;4.47
52;GO;2007;4.19
33;RJ;2007;4.12
32;ES;2007;3.8
43;RS;2007;3.32
11;RO;2007;2.85
25;PB;2007;1.11
17;TO;2007;1.14
21;MA;2007;1.54
29;BA;2007;1.56
13;AM;2007;1.79
23;CE;2007;1.89
24;RN;2007;1.96
14;RR;2007;17.5
26;PE;2007;2.05
42;SC;2007;2.2
53;DF;2007;2.22
22;PI;2007;2.47
27;AL;2007;2.5
28;SE;2007;2.51
35;SP;2007;2.64
31;MG;2007;2.72
15;PA;2007;2.85
51;MT;2007;7.44
13;AM;2008;1.84
29;BA;2008;2.07
26;PE;2008;2.59
42;SC;2008;2.64
31;MG;2008;2.73
33;RJ;2008;2.95
35;SP;2008;3.06
27;AL;2008;0.672
16;AP;2008;0
50;MS;2008;6.1
52;GO;2008;3.9
14;RR;2008;20.6
12;AC;2008;6.27
41;PR;2008;5.97
11;RO;2008;5.28
51;MT;2008;4.61
43;RS;2008;3.83
32;ES;2008;3.55
15;PA;2008;3.14
17;TO;2008;2.5
25;PB;2008;1.03
